stock_code,code,name,market,sector,industry
2317.TW,2317,鴻海,上市,Technology,Computer Hardware
2321.TW,2321,東訊,上市,Technology,Electronics
2323.TW,2323,中環,上市,Technology,Electronics
2324.TW,2324,仁寶,上市,Technology,Computer Hardware
2325.TW,2325,矽品,上市,Technology,Electronics
2327.TW,2327,國巨,上市,Technology,Electronics
2328.TW,2328,廣宇,上市,Technology,Electronics
2329.TW,2329,華名,上市,Technology,Electronics
2330.TW,2330,台積電,上市,Technology,Semiconductors
2331.TW,2331,精英,上市,Technology,Electronics
2332.TW,2332,友訊,上市,Technology,Electronics
2337.TW,2337,旺宏,上市,Technology,Electronics
2338.TW,2338,光罩,上市,Technology,Electronics
2340.TW,2340,光磊,上市,Technology,Electronics
2342.TW,2342,茂矽,上市,Technology,Electronics
2344.TW,2344,華邦電,上市,Technology,Electronics
2345.TW,2345,智邦,上市,Technology,Electronics
2347.TW,2347,聯強,上市,Technology,Electronics
2348.TW,2348,海悅,上市,Technology,Electronics
2349.TW,2349,錸德,上市,Technology,Electronics
2351.TW,2351,順德,上市,Technology,Electronics
2352.TW,2352,佳世達,上市,Technology,Electronics
2353.TW,2353,宏碁,上市,Technology,Electronics
2354.TW,2354,鴻準,上市,Technology,Electronics
2355.TW,2355,敬鵬,上市,Technology,Electronics
2356.TW,2356,英業達,上市,Technology,Electronics
2357.TW,2357,華碩,上市,Technology,Computer Hardware
2358.TW,2358,廷鑫,上市,Technology,Electronics
2359.TW,2359,所羅門,上市,Technology,Electronics
2360.TW,2360,致茂,上市,Technology,Electronics
2362.TW,2362,藍天,上市,Technology,Electronics
2363.TW,2363,矽統,上市,Technology,Electronics
2364.TW,2364,倫飛,上市,Technology,Electronics
2365.TW,2365,昆盈,上市,Technology,Electronics
2367.TW,2367,燿華,上市,Technology,Electronics
2368.TW,2368,金像電,上市,Technology,Electronics
2369.TW,2369,菱生,上市,Technology,Electronics
2371.TW,2371,大同,上市,Technology,Electronics
2373.TW,2373,震旦行,上市,Technology,Electronics
